distribution,round,n_players,mae,brier_10plus,logloss_10plus,base_rate_10plus,hitrate_10plus,brier_15plus,logloss_15plus,base_rate_15plus,hitrate_15plus,brier_20plus,logloss_20plus,base_rate_20plus,hitrate_20plus,brier_25plus,logloss_25plus,base_rate_25plus,hitrate_25plus,brier_30plus,logloss_30plus,base_rate_30plus,hitrate_30plus
gaussian,11,414,3.8727,0.1322,0.4066,0.7971,0.826,0.1567,0.471,0.5121,0.7902,0.1034,0.3315,0.285,0.8316,0.0615,0.2071,0.1304,0.8235,0.0324,0.1031,0.0435,0.3333
gaussian,12,414,3.9382,0.1329,0.4081,0.7705,0.8132,0.1488,0.4571,0.5072,0.799,0.1232,0.3939,0.2947,0.8313,0.0693,0.2536,0.1304,0.7143,0.038,0.1213,0.0507,0.3333
gaussian,13,322,3.8437,0.1345,0.4133,0.7919,0.8113,0.162,0.4873,0.4876,0.741,0.1173,0.3656,0.264,0.7576,0.0693,0.2262,0.118,0.6538,0.0289,0.1115,0.0404,0.8
gaussian,14,368,4.0565,0.1469,0.4424,0.7582,0.7861,0.1496,0.4744,0.481,0.7654,0.1215,0.3805,0.2663,0.6883,0.0776,0.2477,0.1141,0.5312,0.0321,0.1125,0.038,0.0
gaussian,15,322,3.7816,0.1318,0.3973,0.7888,0.8167,0.1539,0.4683,0.5062,0.8041,0.1068,0.3486,0.2826,0.7971,0.0706,0.3411,0.146,0.871,0.0295,0.194,0.0497,1.0
gaussian,16,322,3.9573,0.1414,0.4379,0.7733,0.7933,0.1516,0.4718,0.5062,0.7885,0.1203,0.3752,0.264,0.7083,0.0673,0.2175,0.1366,0.7027,0.0439,0.1344,0.0621,0.3333
gaussian,17,321,3.9526,0.1407,0.4243,0.7632,0.8123,0.1413,0.4422,0.4798,0.7821,0.1121,0.3587,0.2399,0.7143,0.0778,0.2676,0.1215,0.5217,0.0275,0.0915,0.0312,0.3333
gaussian,18,412,3.8237,0.1295,0.4054,0.7913,0.8311,0.1557,0.4912,0.5146,0.8245,0.1215,0.3931,0.2767,0.7439,0.0735,0.2311,0.1214,0.4848,0.0208,0.0782,0.0291,0.75
gaussian,19,414,3.7758,0.1488,0.4557,0.7391,0.788,0.1378,0.4355,0.4541,0.7718,0.1127,0.3554,0.2681,0.7416,0.0591,0.194,0.1135,0.7429,0.0358,0.116,0.0411,0.0
gaussian,20,414,3.6408,0.1242,0.3747,0.7802,0.8158,0.1425,0.4444,0.4734,0.7868,0.1027,0.3329,0.2754,0.8214,0.0765,0.2381,0.1304,0.5938,0.0271,0.1031,0.0362,0.4
gaussian,21,414,3.8393,0.1299,0.401,0.7923,0.8325,0.1458,0.4574,0.5048,0.8308,0.1066,0.3328,0.2633,0.7474,0.0826,0.2691,0.1208,0.5833,0.0338,0.119,0.0507,0.8
gaussian,22,414,3.7857,0.1346,0.4055,0.7609,0.7926,0.137,0.4306,0.4589,0.8021,0.0983,0.3172,0.2536,0.7865,0.0615,0.2005,0.1208,0.7273,0.0354,0.1077,0.0507,0.6
gaussian,23,413,3.6419,0.1188,0.3662,0.7676,0.8311,0.1543,0.4748,0.5157,0.8148,0.109,0.3474,0.2809,0.7791,0.0715,0.2201,0.1235,0.5758,0.025,0.0817,0.0339,0.4
gaussian,24,414,3.7613,0.1306,0.3995,0.7681,0.824,0.1431,0.4399,0.4855,0.828,0.1103,0.3455,0.2826,0.8095,0.0633,0.1985,0.1135,0.6,0.0275,0.0932,0.0314,0.3333
negbin,1,184,3.5114,0.1356,0.4224,0.7717,0.8609,0.1475,0.4633,0.4728,0.8421,0.1098,0.3612,0.2391,0.8696,0.0787,0.2775,0.125,0.7143,0.0291,0.1087,0.038,
negbin,2,414,4.6621,0.1633,0.492,0.8164,0.8519,0.2079,0.6155,0.5072,0.7832,0.1619,0.5213,0.2995,0.8605,0.0892,0.3041,0.1401,0.9091,0.0366,0.1499,0.0459,
negbin,3,368,4.3182,0.1403,0.4332,0.7962,0.8476,0.1843,0.5498,0.5136,0.8243,0.1376,0.4373,0.2799,0.7727,0.089,0.3015,0.1332,0.75,0.0416,0.1655,0.0489,
negbin,4,322,4.2641,0.1403,0.4358,0.7919,0.8276,0.1771,0.5303,0.5155,0.8074,0.1361,0.4343,0.2919,0.8033,0.0843,0.2942,0.1304,0.619,0.0382,0.1446,0.0528,1.0
negbin,5,368,3.9348,0.1375,0.4227,0.7745,0.8171,0.1637,0.5,0.5109,0.8302,0.1314,0.4087,0.288,0.7571,0.0758,0.2491,0.1332,0.7083,0.0369,0.1332,0.0435,0.3333
negbin,6,414,3.8105,0.1281,0.4057,0.7947,0.8346,0.1589,0.4903,0.5266,0.8377,0.13,0.409,0.3164,0.8519,0.0751,0.2512,0.1329,0.64,0.0312,0.1209,0.0338,0.0
negbin,7,414,3.854,0.139,0.4275,0.7681,0.808,0.1665,0.5092,0.4976,0.7919,0.1078,0.3527,0.2512,0.7927,0.0719,0.2405,0.1232,0.6667,0.0331,0.1285,0.0362,1.0
